"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"105",414385.074064887,629403.25538233,0.586323688743951,0.34722465356925,38082.7354856291,7564.81943133864,3518.33358146256,12122.1172905664,3.2571487090207e-09,100.494969121297,0.126,1.30109595974778,1.5304357282777
"106",389527.701496887,597535.555895051,0.56319941614006,0.379207087385333,38901.4184769869,7647.71522091645,12025.0051039496,12124.3284441973,3.60201977778906e-09,124.510340737066,0.224883905595508,0.864353610545605,1.68156643427901
"107",383023.537877726,577341.128795059,0.416206326945547,0.55317581949435,47509.6400752125,7220.40889811843,8127.10618016602,12114.0348435417,3.93461325639059e-09,134.86637997155,0.0974154852854596,1.35015786733418,1.84004250406727
"108",400261.16443027,578914.933993532,0.566584243650178,0.371597193842766,61407.3714566125,5998.44283722688,2140.8002650195,12125.9589693605,3.49172419163637e-09,100.508196948562,0.125998667014944,1.30056813115779,1.5311383568316
"109",402700.02773353,592649.753032382,0.578023684247819,0.358772156707322,44963.5918945546,4552.15425390905,2265.67476537907,12120.4064454166,3.44008393300032e-09,84.0284495066726,0.321770592145666,1.80650003851234,1.69310550858755
"110",393974.457200029,523505.894527556,0.571876933901181,0.368597537975541,76269.0269973786,9924.3921101856,2663.55845599658,12118.1979234312,3.31339393094365e-09,98.4785509607703,0.254582388559585,1.28427964241909,1.9907076758995
"111",424397.725039454,619042.201471461,0.599837613125894,0.32516160570877,37225.4668424489,1873.10439753232,3958.93892527273,12115.9480692917,3.51970909682624e-09,121.368744504221,0.13528402125017,0.873890501787992,1.06132203127098
"112",406310.101767242,567150.187902678,0.601378772224041,0.323873371504009,54116.4881082742,2039.78082073333,4652.72541085679,12120.8906482656,3.58061896993294e-09,104.457551806897,0.443621799929192,1.29701886321479,1.82848405518809
"113",389807.06968984,689456.364930976,0.544666203203355,0.404460609613239,9300.59506138106,8226.55876298212,2168.70170575536,12126.0341278562,3.07832124871658e-09,119.741505983191,0.0701200594736634,1.6209967076218,1.46478116554791
"114",388205.75864246,629570.562712016,0.568679427731007,0.365591783958349,21644.9963026557,1692.30160027627,3274.43023073575,12125.3344501133,3.49822747219257e-09,100.360452745932,0.435777020376653,1.02039725892209,1.73613474669773
"115",414293.510541289,629271.764548878,0.5862416787432,0.347215821287494,38086.6011321354,7566.43094181716,3512.8865776001,12121.0027378584,5.39681749951722e-09,100.494969121297,0.126,1.30109596140642,1.53079329011516
"116",398430.256775695,622603.479840742,0.472673303927591,0.489961626615269,37181.5015683174,7239.13672097492,7934.18918903076,12126.3306927374,2.75506257666051e-09,100.3502606274,0.4358,1.02058525750821,1.73496189703575
"117",400145.211482341,686614.156966838,0.424793523220667,0.51809712909903,8103.60452234127,6603.34847269774,6699.47745711609,12124.461670948,4.27199805802666e-09,105.317957017198,0.147201652522204,1.30349804348534,1.60740979891774
"118",408993.920947235,516171.166041724,0.538613258228842,0.413285057798536,79876.0128253028,1796.24604208472,3494.57821301991,12121.7648004288,3.21444742566376e-09,90.2057,0.309677719480872,1.1099,1.18047101724168
